season,season_label,date,location,outcome,point_margin,opponent,opp_conference,started,minutes,fg,fga,fg_pct,fg3,fg3a,ft,fta,rebounds,assists,steals,blocks,turnovers,points,game_score,double_double,triple_double,age
1,1996-97,1996-11-03,Home,W,6,MIN,Western,0,6.22,0,1,0.0,0,0,0,0,1,0,0,1,1,0,-1.1,0,0,18
1,1996-97,1996-11-05,Away,W,6,NYK,Eastern,0,3.16,0,1,0.0,0,0,1,2,0,0,0,0,1,1,-1.1,0,0,18
1,1996-97,1996-11-06,Away,L,-10,CHH,Eastern,0,6.49,2,3,0.667,1,2,0,0,0,0,0,0,3,5,0.7,0,0,18
1,1996-97,1996-11-08,Away,L,-1,TOR,Eastern,0,17.15,3,8,0.375,2,3,2,4,3,0,0,1,0,10,5.2,0,0,18
1,1996-97,1996-11-10,Home,W,7,ATL,Eastern,0,8.25,0,3,0.0,0,0,2,2,3,1,0,0,0,2,1.9,0,0,18
1,1996-97,1996-11-12,Away,W,11,HOU,Western,0,5.03,1,2,0.5,0,1,0,0,1,0,0,0,2,2,-0.7,0,0,18
1,1996-97,1996-11-13,Away,L,-12,SAS,Western,0,6.06,2,2,1.0,1,1,1,1,0,0,1,0,0,6,5.6,0,0,18
1,1996-97,1996-11-15,Home,W,7,LAC,Western,0,7.01,1,4,0.25,0,2,2,3,0,0,0,0,1,4,-1.4,0,0,18
1,1996-97,1996-11-17,Away,W,14,PHO,Western,0,14.29,5,8,0.625,4,6,2,2,2,2,0,0,4,16,10.4,0,0,18
1,1996-97,1996-11-19,Away,W,3,GSW,Western,0,7.47,0,2,0.0,0,1,3,4,2,1,0,0,1,3,0.7,0,0,18
1,1996-97,1996-11-20,Home,L,-16,UTA,Western,0,20.32,4,5,0.8,3,3,0,0,1,1,0,1,2,11,8.4,0,0,18
1,1996-97,1996-11-26,Away,W,12,PHI,Eastern,0,20.52,4,10,0.4,2,5,2,2,1,1,0,0,3,12,4.2,0,0,18
1,1996-97,1996-11-27,Away,L,-16,BOS,Eastern,0,19.33,1,7,0.143,0,3,0,0,4,1,0,1,2,2,-2.7,0,0,18
1,1996-97,1996-11-29,Away,W,8,DET,Eastern,0,6.35,0,1,0.0,0,0,1,2,1,0,0,1,0,1,0.9,0,0,18
1,1996-97,1996-12-01,Home,W,8,DEN,Western,0,2.41,1,2,0.5,0,0,0,0,1,0,0,0,1,2,0.3,0,0,18
1,1996-97,1996-12-04,Away,L,-26,UTA,Western,0,13.24,2,6,0.333,0,0,4,6,3,2,0,0,1,8,5.1,0,0,18
1,1996-97,1996-12-08,Home,W,24,MIN,Western,0,22.02,3,10,0.3,0,3,5,6,3,3,2,2,3,11,8.2,0,0,18
1,1996-97,1996-12-10,Away,W,2,SAC,Western,0,6.07,0,1,0.0,0,1,0,0,1,1,1,0,1,0,0.3,0,0,18
1,1996-97,1996-12-17,Away,L,-6,CHI,Eastern,0,9.48,2,5,0.4,1,2,0,2,1,0,0,1,0,5,2.1,0,0,18
1,1996-97,1996-12-18,Away,W,6,MIL,Eastern,0,7.49,0,0,,0,0,0,0,3,1,0,1,1,0,2.1,0,0,18
1,1996-97,1996-12-21,Away,L,-15,MIN,Western,0,11.38,2,3,0.667,1,2,0,0,1,0,0,1,3,5,0.9,0,0,18
1,1996-97,1996-12-25,Away,W,21,PHO,Western,0,5.12,0,2,0.0,0,1,0,0,1,0,0,0,0,0,-1.5,0,0,18
1,1996-97,1996-12-29,Home,W,13,PHI,Eastern,0,6.31,0,1,0.0,0,0,0,0,1,0,1,0,1,0,-1.6,0,0,18
1,1996-97,1997-01-02,Away,W,7,SAC,Western,0,10.29,2,3,0.667,0,1,0,0,1,2,1,0,0,4,4.2,0,0,18
1,1996-97,1997-01-03,Home,W,7,SAC,Western,0,22.16,6,10,0.6,0,2,9,10,5,1,2,2,0,21,22.0,0,0,18
1,1996-97,1997-01-05,Away,W,13,VAN,Western,0,28.48,6,9,0.667,1,1,3,4,5,3,1,0,2,16,14.3,0,0,18
1,1996-97,1997-01-06,Away,L,-4,POR,Western,0,23.12,3,9,0.333,1,3,1,2,2,2,2,0,2,8,3.3,0,0,18
1,1996-97,1997-01-08,Home,W,4,CHH,Eastern,0,21.32,4,13,0.308,0,2,1,2,1,2,2,1,2,9,3.1,0,0,18
1,1996-97,1997-01-10,Home,W,9,MIA,Eastern,0,7.46,1,3,0.333,0,1,0,0,3,0,0,0,2,2,-0.4,0,0,18
1,1996-97,1997-01-14,Home,W,10,VAN,Western,0,5.34,1,6,0.167,0,2,0,0,0,0,1,0,0,2,-1.2,0,0,18
1,1996-97,1997-01-18,Home,L,-3,DET,Eastern,0,32.2,8,13,0.615,3,5,2,2,2,5,1,0,4,21,15.8,0,0,18
1,1996-97,1997-01-20,Home,W,10,DAL,Western,0,13.24,3,7,0.429,0,0,0,0,2,1,1,0,5,6,-0.8,0,0,18
1,1996-97,1997-01-24,Home,W,17,GSW,Western,0,24.54,4,8,0.5,1,4,8,8,6,4,1,0,3,17,16.0,0,0,18
1,1996-97,1997-01-26,Away,W,1,SEA,Western,0,17.02,3,6,0.5,1,1,0,0,1,1,1,0,3,7,3.4,0,0,18
1,1996-97,1997-01-28,Away,W,19,DAL,Western,1,31.45,5,11,0.455,0,3,2,3,3,2,2,1,3,12,7.9,0,0,18
1,1996-97,1997-01-29,Away,W,7,SAS,Western,1,29.51,6,12,0.5,3,7,4,4,4,0,2,2,3,19,14.2,0,0,18
1,1996-97,1997-02-02,Home,W,30,WSB,Eastern,0,24.0,2,9,0.222,0,1,9,9,3,3,0,0,1,13,9.5,0,0,18
1,1996-97,1997-02-04,Away,L,-22,LAC,Western,0,22.32,2,10,0.2,0,2,2,2,3,0,2,0,2,6,0.3,0,0,18
1,1996-97,1997-02-05,Home,W,16,CHI,Eastern,0,12.4,2,7,0.286,1,2,0,0,3,0,0,1,0,5,2.9,0,0,18
1,1996-97,1997-02-12,Away,W,16,MIN,Western,0,11.02,0,4,0.0,0,0,2,3,2,3,0,1,1,2,1.2,0,0,18
1,1996-97,1997-02-13,Away,W,15,DEN,Western,0,20.0,4,10,0.4,1,2,0,0,2,3,1,0,1,9,5.9,0,0,18
1,1996-97,1997-02-16,Home,L,-11,SEA,Western,0,12.55,0,3,0.0,0,1,0,0,1,0,0,0,2,0,-4.6,0,0,18
1,1996-97,1997-02-19,Home,L,-19,CLE,Eastern,1,23.27,3,7,0.429,2,4,2,2,2,0,0,2,1,10,6.1,0,0,18
1,1996-97,1997-02-21,Home,W,8,VAN,Western,0,5.15,1,1,1.0,0,0,0,0,1,0,0,0,2,2,0.0,0,0,18
1,1996-97,1997-02-23,Home,L,-6,NYK,Eastern,0,3.47,0,2,0.0,0,1,0,0,1,0,0,0,0,0,-1.5,0,0,18
1,1996-97,1997-02-28,Away,L,-11,ATL,Eastern,0,1.23,0,1,0.0,0,0,0,0,0,0,0,0,0,0,-0.7,0,0,18
1,1996-97,1997-03-02,Away,L,-16,IND,Eastern,0,21.28,4,9,0.444,0,1,2,2,1,1,0,0,1,10,5.3,0,0,18
1,1996-97,1997-03-04,Away,W,10,DAL,Western,0,6.18,0,2,0.0,0,1,0,0,2,0,0,0,0,0,-0.4,0,0,18
