abbr,team,city,conference,division
ATL,Atlanta Hawks,Atlanta,Eastern,Southeast
BOS,Boston Celtics,Boston,Eastern,Atlantic
BRK,Brooklyn Nets,Brooklyn,Eastern,Atlantic
CHO,Charlotte Hornets,Charlotte,Eastern,Southeast
CHI,Chicago Bulls,Chicago,Eastern,Central
CLE,Cleveland Cavaliers,Cleveland,Eastern,Central
DAL,Dallas Mavericks,Dallas,Western,Southwest
DEN,Denver Nuggets,Denver,Western,Northwest
DET,Detroit Pistons,Detroit,Eastern,Central
GSW,Golden State Warriors,San Francisco,Western,Pacific
HOU,Houston Rockets,Houston,Western,Southwest
IND,Indiana Pacers,Indianapolis,Eastern,Central
LAC,Los Angeles Clippers,Los Angeles,Western,Pacific
LAL,Los Angeles Lakers,Los Angeles,Western,Pacific
MEM,Memphis Grizzlies,Memphis,Western,Southwest
MIA,Miami Heat,Miami,Eastern,Southeast
MIL,Milwaukee Bucks,Milwaukee,Eastern,Central
MIN,Minnesota Timberwolves,Minneapolis,Western,Northwest
NOP,New Orleans Pelicans,New Orleans,Western,Southwest
NYK,New York Knicks,New York,Eastern,Atlantic
OKC,Oklahoma City Thunder,Oklahoma City,Western,Northwest
ORL,Orlando Magic,Orlando,Eastern,Southeast
PHI,Philadelphia 76ers,Philadelphia,Eastern,Atlantic
PHO,Phoenix Suns,Phoenix,Western,Pacific
POR,Portland Trail Blazers,Portland,Western,Northwest
SAC,Sacramento Kings,Sacramento,Western,Pacific
SAS,San Antonio Spurs,San Antonio,Western,Southwest
TOR,Toronto Raptors,Toronto,Eastern,Atlantic
UTA,Utah Jazz,Salt Lake City,Western,Northwest
WAS,Washington Wizards,Washington,Eastern,Southeast
