crime_cat,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Animal Cruelty Offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,207,304,321,313
Arson,1190,1284,500,817,834,1042,1139,981,1104,971,957,761,882,1130,1175,1334,1373,1122,861,871,995,863,781,702,714,688,674,644,594,710
Assault Offenses,44915,49349,53481,62033,57908,72013,77915,79902,80506,77590,66390,58636,80743,83060,83802,83217,84420,80625,77326,75334,72841,71653,67751,66827,66444,64416,61365,62589,60964,56627
Bribery,12,4,1,4,3,3,5,4,0,3,2,4,5,5,4,9,3,17,13,11,15,5,6,7,12,10,9,6,7,4
Burglary/Breaking & Entering,43161,50377,48565,47948,38746,48038,47469,45731,40991,38298,39488,43883,44338,44033,43128,43558,45371,45600,45217,46164,47094,45181,40747,36782,34261,32826,30133,28902,25968,21659
Counterfeiting/Forgery,7130,6887,2308,2014,2395,2858,2948,3743,4008,3669,5405,6792,8443,10533,11263,11021,10077,9108,8891,7681,8140,7977,7092,8410,7167,6983,6498,6221,6090,4563
Destruction/Damage/Vandalism of Property,55352,64717,24851,24287,21768,16459,21961,27029,26305,25585,36124,42984,52735,60469,65430,70014,74886,71837,66272,65471,62552,59208,52727,50776,48079,45831,40169,36044,35876,35383
Drug/Narcotic Offenses,13855,14960,15066,19779,18995,22411,24602,25904,26600,25700,24243,21336,33047,34907,38534,40079,41942,37834,39284,39383,37992,40176,41009,44586,44856,48949,53461,55768,49508,46806
Embezzlement,867,669,184,51,97,206,318,543,713,745,919,1032,1389,1713,1532,1726,1934,1844,1430,1297,1209,1254,1301,1406,1385,1458,1240,1187,1238,827
Extortion/Blackmail,32,17,6,7,11,12,9,5,6,12,12,27,26,29,37,45,40,56,39,58,51,48,68,73,79,112,128,170,178,208
Fraud Offenses,11019,11315,3175,2796,3266,3896,5134,5663,5566,5235,7562,9013,11810,14745,17833,19385,21266,20851,18633,18169,19671,20973,21048,22640,24496,23932,23221,22908,22470,20234
Gambling Offenses,411,526,147,179,147,123,216,233,133,137,122,139,132,129,184,235,190,155,292,221,223,229,214,202,146,95,56,72,57,40
Homicide Offenses,378,389,407,385,284,360,338,327,279,253,321,315,320,309,326,361,382,325,311,292,326,349,304,334,403,397,376,401,435,502
Human Trafficking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,26,13,21,20
Kidnapping/Abduction,568,642,726,844,628,729,870,811,763,748,621,699,959,983,990,965,1008,966,887,870,818,921,907,943,1027,1084,1001,949,920,909
Larceny/Theft Offenses,103854,118127,120721,126747,108135,132917,135317,130735,124785,121584,118410,126935,131937,135965,132104,131177,132736,130962,122948,124198,126545,127696,123322,120963,117268,117971,116281,112373,108011,103272
Motor Vehicle Theft,11333,14137,14237,15250,12249,16283,16303,16517,14993,15004,15615,17054,16357,16244,16874,16952,17358,17528,13938,13256,13707,13665,12714,12726,13118,14139,14109,14579,14056,14065
Pornography/Obscene Material,26,26,12,12,11,10,12,13,20,37,39,54,58,78,95,117,157,118,148,209,148,175,191,308,344,529,602,746,702,803
Prostitution Offenses,400,472,198,164,210,379,248,281,389,341,441,443,345,618,691,626,755,736,688,596,505,495,466,667,672,662,432,311,342,169
Robbery,5755,6504,7183,7230,5324,6634,6939,6292,6296,5886,5555,5982,5985,5663,5904,6127,6534,6682,5939,5053,4732,4668,4098,4103,4022,4168,3894,3581,3240,3076
Stolen Property Offenses,1253,1426,502,537,469,485,598,852,889,778,1121,1422,2126,2768,3035,3147,3263,3071,2933,3011,3167,3171,3313,3123,3146,3524,3710,4092,4201,4446
Weapon Law Violations,3986,4578,1815,1577,1283,1292,1391,1531,1484,1377,1932,2700,3354,4243,5009,5520,6265,5979,5421,5114,4839,4938,4915,4992,5414,6332,7017,7469,8190,8975
