ori,year,incident_number,incident_date,month,ucr_offense_code,crime_cat,crime,completed,location_type,weapon_force_1,bias_motivation,arrest_made
SC0060000,1991,CG190KW2LC2A,1991-01-01,1,26A,Fraud Offenses,False Pretenses/Swindle/Confidence Game,True,residence/home,,,False
SC0070000,1991,76-4YLY8F39G,1991-01-01,1,23G,Larceny/Theft Offenses,Theft of Motor Vehicle Parts or Accessories,True,commercial/office building,,,False
SC0080000,1991,9A-HQ0708XXA,1991-01-01,1,26A,Fraud Offenses,False Pretenses/Swindle/Confidence Game,True,residence/home,,,False
SC0080100,1991,I04XBZU72 N,1991-01-01,1,13B,Assault Offenses,Simple Assault,True,residence/home,"personal weapons (hands, feet, teeth, etc.)",,False
SC0100100,1991,7N2N18B-F39G,1991-01-01,1,13B,Assault Offenses,Simple Assault,True,parking lot/garage,"personal weapons (hands, feet, teeth, etc.)",,False
SC0260200,1991,09-WQ0C0JCXA,1991-01-01,1,35A,Drug/Narcotic Offenses,Drug/Narcotic Violations,True,highway/road/alley,,,False
SC0300000,1991,6I0B0ERL72 N,1991-01-01,1,220,Burglary/Breaking & Entering,Burglary/Breaking & Entering,True,other/unknown,,,False
SC0300000,1991,6N0BKASD72 N,1991-01-01,1,290,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,True,residence/home,,,False
SC0320000,1991,6N01-ETU72 N,1991-01-01,1,250,Counterfeiting/Forgery,Counterfeiting/Forgery,True,bank/savings and loan,,,False
SC0370000,1991,6NABRVM 728N,1991-01-01,1,13B,Assault Offenses,Simple Assault,True,highway/road/alley,"personal weapons (hands, feet, teeth, etc.)",,False
SC0390000,1991,7N-WKSY8F39G,1991-01-01,1,13B,Assault Offenses,Simple Assault,True,residence/home,"personal weapons (hands, feet, teeth, etc.)",,False
SC0400100,1991,0M-UF2651AEM,1991-01-01,1,23H,Larceny/Theft Offenses,All Other Larceny,True,residence/home,,,False
SC0420000,1991,-S17-0WO95-S,1991-01-01,1,35A,Drug/Narcotic Offenses,Drug/Narcotic Violations,True,highway/road/alley,,,False
SC0430100,1991,AX8AKWPU 28N,1991-01-01,1,220,Burglary/Breaking & Entering,Burglary/Breaking & Entering,True,residence/home,,,False
SC0460000,1991,N5-ZU424X0W5,1991-01-01,1,250,Counterfeiting/Forgery,Counterfeiting/Forgery,True,convenience store,,,False
SC0460300,1991,I0IRYBVSD N,1991-01-01,1,120,Robbery,Robbery,True,restaurant,"personal weapons (hands, feet, teeth, etc.)",,False
SC0080000,1991,9A-HQ070IC6A,1991-01-02,1,23H,Larceny/Theft Offenses,All Other Larceny,True,commercial/office building,,,False
SC0210100,1991,9W-HPUF0ID1A,1991-01-02,1,13B,Assault Offenses,Simple Assault,True,highway/road/alley,"personal weapons (hands, feet, teeth, etc.)",,False
SC0210100,1991,9W-HPUF08D1A,1991-01-02,1,23C,Larceny/Theft Offenses,Shoplifting,True,convenience store,,,False
SC0230000,1991,6N0BKWT972 N,1991-01-02,1,240,Motor Vehicle Theft,Motor Vehicle Theft,True,other/unknown,,,False
SC0400100,1991,U8-XNIJ2-F39,1991-01-02,1,09A,Homicide Offenses,Murder & Non-negligent Manslaughter,True,bar/nightclub,"knife/cutting instrument (ice pick, screwdriver, ax, etc.)",,False
SC0070000,1991,N5-ZUVS4G0W5,1991-01-03,1,23H,Larceny/Theft Offenses,All Other Larceny,True,residence/home,,,False
SC0100800,1991,6N0BRWMV72 N,1991-01-03,1,220,Burglary/Breaking & Entering,Burglary/Breaking & Entering,True,residence/home,,,False
SC0130000,1991,6N-BRES 728N,1991-01-03,1,23H,Larceny/Theft Offenses,All Other Larceny,True,commercial/office building,,,False
SC0230300,1991,GG1906KVZ21A,1991-01-03,1,290,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,True,residence/home,,,False
SC0100000,1991,7G-4KY68 09G,1991-01-04,1,26A,Fraud Offenses,False Pretenses/Swindle/Confidence Game,True,commercial/office building,,,True
SC0230000,1991,6N0BIVRH72 N,1991-01-04,1,290,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,True,parking lot/garage,,,False
SC0230200,1991,6T0BRBT972 N,1991-01-04,1,23H,Larceny/Theft Offenses,All Other Larceny,True,residence/home,,,False
SC0320200,1991,6N-BRFE 728N,1991-01-04,1,13B,Assault Offenses,Simple Assault,True,residence/home,"personal weapons (hands, feet, teeth, etc.)",,False
SC0350100,1991,8X-IKHP 728N,1991-01-04,1,23D,Larceny/Theft Offenses,Theft From Building,True,convenience store,,,False
SC0350100,1991,CT-IKHP 728N,1991-01-04,1,220,Burglary/Breaking & Entering,Burglary/Breaking & Entering,True,residence/home,,,False
SC0400000,1991,N0QYOMC1X N,1991-01-04,1,220,Burglary/Breaking & Entering,Burglary/Breaking & Entering,True,residence/home,,,False
SC0400100,1991,0M-U7 851AEM,1991-01-04,1,23H,Larceny/Theft Offenses,All Other Larceny,True,residence/home,,,False
SC0040000,1991,Z2-IYV-6PU72,1991-01-05,1,290,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,True,restaurant,,,False
SC0100300,1991,0M-U72L50AEM,1991-01-05,1,23H,Larceny/Theft Offenses,All Other Larceny,True,rental storage facility,,,False
SC0170100,1991,8B-IKHP 728N,1991-01-05,1,290,Destruction/Damage/Vandalism of Property,Destruction/Damage/Vandalism of Property,True,parking lot/garage,,,False
SC0220200,1991,6N-BRFT 728N,1991-01-05,1,23C,Larceny/Theft Offenses,Shoplifting,True,department/discount store,,,False
SC0230000,1991,6N0BIY3V72 N,1991-01-05,1,13B,Assault Offenses,Simple Assault,True,residence/home,"personal weapons (hands, feet, teeth, etc.)",,False
SC0260600,1991,5M-U7VZ5UN5M,1991-01-05,1,23H,Larceny/Theft Offenses,All Other Larceny,True,commercial/office building,,,False
